x	2008_LiDAR
0	4176.28
1.152738588	4178.07
2.305477176	4179.56
3.458215764	4180.45
4.610954351	4181.42
5.763692939	4182.3
6.916431527	4183.58
8.069170115	4185.22
9.221908703	4181.27
10.37464729	4173.52
11.52738588	4173.21
12.68012447	4172.41
13.83286305	4172.35
14.98560164	4172.06
16.13834023	4171.26
17.29107882	4169.67
18.44381741	4168.75
19.59655599	4167.82
20.74929458	4167.39
21.90203317	4167.47
23.05477176	4167.7
24.20751034	4168.11
25.36024893	4168.64
26.51298752	4168.79
27.66572611	4167.89
28.8184647	4167.18
29.97120328	4165.85
31.12394187	4164.81
32.27668046	4162.52
33.42941905	4168.65
34.58215764	4170.67
35.73489622	4175.44
36.88763481	4177.54
38.0403734	4177.17
39.19311199	4176.22
40.34585057	4175.6
41.49858916	4174.47
42.65132775	4173.34
43.80406634	4172.58
44.95680493	4171.46
46.10954351	4170.75
47.2622821	4169.53
48.41502069	4168.8
49.56775928	4167.6
50.72049787	4166.43
51.87323645	4165.6
53.02597504	4164.54
54.17871363	4163.86
55.33145222	4162.55
56.4841908	4161.82
57.63692939	4160.64
58.78966798	4159.34
59.94240657	4158.56
61.09514516	4157.6
62.24788374	4156.93
63.40062233	4155.79
64.55336092	4155.14
65.70609951	4154
66.85883809	4152.97
68.01157668	4152.38
69.16431527	4151.41
70.31705386	4150.82
71.46979245	4149.89
72.62253103	4149.62
73.77526962	4148.77
74.92800821	4148.09
76.0807468	4147.73
77.23348539	4147.21
78.38622397	4147.05
79.53896256	4146.76
80.69170115	4146.86
81.84443974	4146.73
82.99717832	4146.62
84.14991691	4146.59
85.3026555	4146.29
86.45539409	4146.19
87.60813268	4145.83
88.76087126	4145.62
89.91360985	4145.09
91.06634844	4144.54
92.21908703	4144.18
93.37182562	4143.31
94.5245642	4142.87
95.67730279	4141.97
96.83004138	4141.43
97.98277997	4140.62
99.13551855	4139.81
100.2882571	4139.37
101.4409957	4138.51
102.5937343	4138.05
103.7464729	4137.21
104.8992115	4136.71
106.0519501	4135.87
107.2046887	4135.08
108.3574273	4134.57
109.5101658	4133.72
110.6629044	4133.26
111.815643	4132.55
112.9683816	4132.11
114.1211202	4131.28
115.2738588	4130.53
116.4265974	4130.03
117.579336	4129.25
118.7320745	4128.92
119.8848131	4128.18
121.0375517	4127.75
122.1902903	4127.03
123.3430289	4126.38
124.4957675	4126.02
125.6485061	4125.31
126.8012447	4124.87
127.9539833	4124.28
129.1067218	4123.93
130.2594604	4123.13
131.412199	4122.52
132.5649376	4122.1
133.7176762	4121.36
134.8704148	4120.9
136.0231534	4120.16
137.175892	4119.78
138.3286305	4119
139.4813691	4118.2
140.6341077	4117.68
141.7868463	4117.04
142.9395849	4116.55
144.0923235	4115.75
145.2450621	4115.22
146.3978007	4114.46
147.5505392	4113.61
148.7032778	4113.23
149.8560164	4112.44
151.008755	4111.97
152.1614936	4111.16
153.3142322	4110.7
154.4669708	4109.94
155.6197094	4109.24
156.7724479	4108.82
157.9251865	4108.1
159.0779251	4107.59
160.2306637	4106.8
161.3834023	4106.48
162.5361409	4105.72
163.6888795	4105.04
164.8416181	4104.63
165.9943566	4103.86
167.1470952	4103.48
168.2998338	4102.7
169.4525724	4102.19
170.605311	4101.39
171.7580496	4100.69
172.9107882	4100.33
174.0635268	4099.56
175.2162654	4099.15
176.3690039	4098.43
177.5217425	4097.97
178.6744811	4097.22
179.8272197	4096.48
180.9799583	4096.07
182.1326969	4095.3
183.2854355	4094.82
184.4381741	4094.05
185.5909126	4093.64
186.7436512	4092.92
187.8963898	4092.1
189.0491284	4091.73
190.201867	4085.4
191.3546056	4087.25
192.5073442	4067.56
193.6600828	4061.39
194.8128213	4059.13
195.9655599	4059.74
197.1182985	4071.32
198.2710371	4084.09
199.4237757	4088.23
200.5765143	4087.54
201.7292529	4087.2
202.8819915	4086.56
204.03473	4085.93
205.1874686	4085.55
206.3402072	4084.87
207.4929458	4084.55
208.6456844	4083.86
209.798423	4083.53
210.9511616	4082.79
212.1039002	4082.09
213.2566388	4081.59
214.4093773	4080.94
215.5621159	4080.5
216.7148545	4079.77
217.8675931	4079.34
219.0203317	4078.57
220.1730703	4077.84
221.3258089	4077.46
222.4785475	4076.63
223.631286	4076.2
224.7840246	4075.36
225.9367632	4074.82
227.0895018	4074.13
228.2422404	4073.26
229.394979	4072.75
230.5477176	4071.96
231.7004562	4071.47
232.8531947	4070.66
234.0059333	4070.15
235.1586719	4069.31
236.3114105	4068.49
237.4641491	4067.99
238.6168877	4067.18
239.7696263	4066.71
240.9223649	4065.93
242.0751034	4065.46
243.227842	4064.59
244.3805806	4063.81
245.5333192	4063.35
246.6860578	4062.62
247.8387964	4062.12
248.991535	4061.33
250.1442736	4060.91
251.2970121	4060.21
252.4497507	4059.47
253.6024893	4059.03
254.7552279	4058.27
255.9079665	4057.86
257.0607051	4057.01
258.2134437	4056.58
259.3661823	4055.75
260.5189209	4054.96
261.6716594	4054.62
262.824398	4053.56
263.9771366	4053.06
265.1298752	4052.24
266.2826138	4051.74
267.4353524	4050.92
268.588091	4049.75
269.7408296	4046.39
270.8935681	4042.43
272.0463067	4042.96
273.1990453	4043.29
274.3517839	4044.77
275.5045225	4047.17
276.6572611	4046.03
277.8099997	4046.54
278.9627383	4047.29
280.1154768	4048.61
281.2682154	4048.24
282.420954	4047.64
283.5736926	4047.04
284.7264312	4045.61
285.8791698	4044.78
287.0319084	4043.66
288.184647	4043.1
289.3373855	4041.73
290.4901241	4040.52
291.6428627	4039.82
292.7956013	4038.81
293.9483399	4038.11
295.1010785	4037.09
296.2538171	4036.46
297.4065557	4035.41
298.5592943	4034.58
299.7120328	4034.28
300.8647714	4033.48
302.01751	4033.22
303.1702486	4032.62
304.3229872	4032.25
305.4757258	4031.76
306.6284644	4031.39
307.781203	4030.99
308.9339415	4030.58
310.0866801	4030.3
311.2394187	4029.84
312.3921573	4029.49
313.5448959	4029
314.6976345	4028.52
315.8503731	4028.27
317.0031117	4027.72
318.1558502	4027.36
319.3085888	4026.72
320.4613274	4026.41
321.614066	4025.83
322.7668046	4024.98
323.9195432	4024.66
325.0722818	4023.75
326.2250204	4023.19
327.3777589	4022.05
328.5304975	4021.29
329.6832361	4020.02
330.8359747	4018.8
331.9887133	4018.25
333.1414519	4017.33
334.2941905	4016.81
335.4469291	4015.94
336.5996677	4015.48
337.7524062	4014.67
338.9051448	4013.75
340.0578834	4013.31
341.210622	4012.5
342.3633606	4011.97
343.5160992	4011.15
344.6688378	4010.77
345.8215764	4010.07
346.9743149	4009.27
348.1270535	4008.75
349.2797921	4007.93
350.4325307	4007.53
351.5852693	4006.79
352.7380079	4006.33
353.8907465	4005.59
355.0434851	4004.8
356.1962236	4004.46
357.3489622	4003.79
358.5017008	4003.32
359.6544394	4002.55
360.807178	4002.12
361.9599166	4000.98
363.1126552	3999.89
364.2653938	3999.36
365.4181323	3998.52
366.5708709	3998.05
367.7236095	3997.14
368.8763481	3996.72
370.0290867	3995.97
371.1818253	3995.03
372.3345639	3994.52
373.4873025	3993.93
374.640041	3993.56
375.7927796	3992.85
376.9455182	3992.42
378.0982568	3991.57
379.2509954	3990.95
380.403734	3990.55
381.5564726	3989.88
382.7092112	3989.59
383.8619498	3988.96
385.0146883	3988.58
386.1674269	3987.99
387.3201655	3983.68
388.4729041	3977.69
389.6256427	3977.94
390.7783813	3981.97
391.9311199	3986.4
393.0838585	3985.93
394.236597	3985.09
395.3893356	3984.23
396.5420742	3983.76
397.6948128	3982.99
398.8475514	3982.57
400.00029	3981.72
401.1530286	3981.2
402.3057672	3980.36
403.4585057	3979.55
404.6112443	3979.1
405.7639829	3978.33
406.9167215	3977.86
408.0694601	3977.05
409.2221987	3976.61
410.3749373	3975.75
411.5276759	3975.01
412.6804144	3974.63
413.833153	3974.05
414.9858916	3957.26
416.1386302	3945.31
417.2913688	3946.61
418.4441074	3951.57
419.596846	3953.11
420.7495846	3953.76
421.9023232	3955.34
423.0550617	3957.01
424.2078003	3960.39
425.3605389	3961.89
